project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
JacksonDatabind,57,locus,Yes,1.0,1.0,1.0,67.07820224761963,2025-11-22T11:17:55.958087,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,58,FlexFL,Yes,2.0,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
JacksonDatabind,58,boostnsift,Yes,2.0,0.5,0.5,28.009528636932373,2025-11-18T17:19:20.276068,2025-12-22T16:51:35.010325,37.46,72.22,523312824.0,984508006.0,134861973094.0,586.0,0.0,0.0,0.0,0,1,1
JacksonDatabind,58,buglocator,Yes,1.0,1.0,1.0,22.547861099243164,2025-12-17T14:56:33.525676,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
JacksonDatabind,58,locus,Yes,1.0,1.0,1.0,50.2133355140686,2025-11-22T11:17:57.498080,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,59,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,59,boostnsift,Yes,50.0,0.02,0.02,28.243736267089844,2025-11-18T17:19:43.316136,2025-12-22T16:51:35.010325,52.06999999999999,197.64,479327158.0,1043962265.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,59,buglocator,Yes,29.0,0.034483,0.034483,23.198697566986084,2025-12-17T14:56:56.724429,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,59,locus,Yes,192.0,0.005208,0.005208,62.32399821281433,2025-11-22T11:18:58.285985,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,60,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,60,boostnsift,Yes,90.0,0.011111,0.011111,23.68771982192993,2025-11-18T17:20:17.394349,2025-12-22T16:51:35.010325,64.66,118.02,588726490.0,1024668467.0,134861973094.0,696.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,60,buglocator,Yes,186.0,0.005376,0.005376,18.097387313842773,2025-12-17T14:57:14.821873,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,60,locus,Yes,18.0,0.055556,0.055556,59.52869486808777,2025-11-22T11:19:33.247859,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,61,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,61,boostnsift,Yes,27.0,0.037037,0.037037,25.703786849975582,2025-11-18T17:20:37.897309,2025-12-22T16:51:35.010325,104.2225,249.35,442491207.5,740294656.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,61,buglocator,Yes,5.0,0.2,0.2,16.959875345230103,2025-12-17T14:57:15.379514,2025-12-22T16:51:35.010325,,,,,,,,,,0,1,1
JacksonDatabind,61,locus,Yes,1.0,1.0,1.0,65.66208362579346,2025-11-22T11:20:03.952009,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,62,FlexFL,Yes,2.0,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
JacksonDatabind,62,boostnsift,Yes,18.0,0.055556,0.055556,27.845065116882324,2025-11-18T17:21:00.841491,2025-12-22T16:51:35.010325,64.7775,136.48,272026828.5,572732211.0,134861973094.0,696.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,62,buglocator,Yes,2.0,0.5,0.5,20.228099584579468,2025-12-17T14:57:35.050027,2025-12-22T16:51:35.010325,,,,,,,,,,0,1,1
JacksonDatabind,62,locus,Yes,1.0,1.0,1.0,58.94762444496155,2025-11-22T11:20:32.233119,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,63,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,63,boostnsift,Yes,8.0,0.125,0.125,28.291144132614136,2025-11-18T17:21:21.532870,2025-12-22T16:51:35.010325,112.7125,417.26,285671423.75,737882931.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,1
JacksonDatabind,63,buglocator,Yes,1.0,1.0,1.0,19.40297555923462,2025-12-17T14:57:34.782543,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
JacksonDatabind,63,locus,Yes,6.0,0.166667,0.166667,58.32685208320618,2025-11-22T11:21:02.323187,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,1
JacksonDatabind,64,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,64,boostnsift,Yes,8.0,0.125,0.125,25.05170774459839,2025-11-18T17:21:41.385901,2025-12-22T16:51:35.010325,79.50333333333333,124.36,354278877.3333333,548195532.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,1
